"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Haushaltsgrösse - Total";"1 Person";"2 Personen";"3 Personen";"4 Personen";"5 Personen";"6 oder mehr Personen"
"2012";"- St. Gallen";205308;68554;67053;26204;27531;11110;4856
"2012";">> Wahlkreis St. Gallen";54361;21520;17171;6293;6139;2268;970
"2012";"......3201 Häggenschwil";428;99;135;44;83;48;19
"2012";"......3202 Muolen";428;95;151;51;72;32;27
"2012";"......3203 St. Gallen";35706;15922;10822;3912;3343;1186;521
"2012";"......3204 Wittenbach";4124;1332;1441;531;563;184;73
"2012";"......3212 Eggersriet";886;228;320;119;138;58;23
"2012";"......3441 Andwil (SG)";697;167;222;89;138;54;27
"2012";"......3442 Gaiserwald";3290;920;1162;443;532;171;62
"2012";"......3443 Gossau (SG)";7592;2490;2563;913;1042;423;161
"2012";"......3444 Waldkirch";1210;267;355;191;228;112;57
"2012";">> Wahlkreis Rorschach";17893;6073;5968;2318;2285;911;338
"2012";"......3211 Berg (SG)";312;68;115;37;54;23;15
"2012";"......3213 Goldach";4062;1383;1420;537;495;176;51
"2012";"......3214 Mörschwil";1377;325;497;180;244;98;33
"2012";"......3215 Rorschach";4069;1793;1142;457;377;199;101
"2012";"......3216 Rorschacherberg";3070;996;1081;432;389;132;40
"2012";"......3217 Steinach";1476;470;539;186;190;72;19
"2012";"......3218 Tübach";523;147;186;61;86;31;12
"2012";"......3219 Untereggen";355;62;106;64;76;35;12
"2012";"......3237 Thal";2649;829;882;364;374;145;55
"2012";">> Wahlkreis Rheintal";27883;8373;9114;3865;4153;1673;705
"2012";"......3231 Au (SG)";3054;1005;1028;421;399;137;64
"2012";"......3232 Balgach";1867;542;653;256;273;110;33
"2012";"......3233 Berneck";1564;472;511;234;236;91;20
"2012";"......3234 Diepoldsau";2247;555;749;347;390;147;59
"2012";"......3235 Rheineck";1426;524;443;180;188;67;24
"2012";"......3236 St. Margrethen";2376;793;729;337;314;137;66
"2012";"......3238 Widnau";3560;997;1193;486;600;201;83
"2012";"......3251 Altstätten";4571;1505;1481;589;572;280;144
"2012";"......3252 Eichberg";579;149;179;89;103;48;11
"2012";"......3253 Marbach (SG)";780;184;251;113;150;63;19
"2012";"......3254 Oberriet (SG)";3190;835;999;456;565;228;107
"2012";"......3255 Rebstein";1816;570;598;237;262;101;48
"2012";"......3256 Rüthi (SG)";853;242;300;120;101;63;27
"2012";">> Wahlkreis Werdenberg";14855;4609;4821;2010;2114;859;442
"2012";"......3271 Buchs (SG)";4847;1694;1516;633;600;250;154
"2012";"......3272 Gams";1213;320;381;183;191;93;45
"2012";"......3273 Grabs";2722;723;931;372;441;168;87
"2012";"......3274 Sennwald";2075;650;683;286;303;111;42
"2012";"......3275 Sevelen";1879;562;620;271;260;110;56
"2012";"......3276 Wartau";2119;660;690;265;319;127;58
"2012";">> Wahlkreis Sarganserland";16137;5105;5225;2151;2274;997;385
"2012";"......3291 Bad Ragaz";2492;928;801;314;293;109;47
"2012";"......3292 Flums";1911;587;555;266;291;139;73
"2012";"......3293 Mels";3315;892;1077;483;535;243;85
"2012";"......3294 Pfäfers";611;187;190;73;80;64;17
"2012";"......3295 Quarten";1175;374;436;121;146;67;31
"2012";"......3296 Sargans";2541;867;864;353;293;117;47
"2012";"......3297 Vilters-Wangs";1769;493;556;251;300;128;41
"2012";"......3298 Walenstadt";2323;777;746;290;336;130;44
"2012";">> Wahlkreis See-Gaster";26475;8150;8990;3521;3855;1395;564
"2012";"......3311 Amden";747;265;275;79;85;30;13
"2012";"......3312 Benken (SG)";1038;246;340;152;180;87;33
"2012";"......3313 Kaltbrunn";1758;485;556;248;290;121;58
"2012";"......3315 Schänis";1407;371;460;212;233;87;44
"2012";"......3316 Weesen";696;253;233;68;97;29;16
"2012";"......3338 Schmerikon";1403;401;485;209;225;61;22
"2012";"......3339 Uznach";2354;654;783;325;367;159;66
"2012";"......3340 Rapperswil-Jona";11703;3996;4061;1522;1514;457;153
"2012";"......3341 Gommiswald";2007;604;695;243;288;121;56
"2012";"......3342 Eschenbach (SG)";3362;875;1102;463;576;243;103
"2012";">> Wahlkreis Toggenburg";17855;5446;5824;2247;2429;1220;689
"2012";"......3352 Ebnat-Kappel";2050;645;720;251;272;128;34
"2012";"......3359 Wildhaus-Alt St. Johann";1125;403;368;122;121;59;52
"2012";"......3360 Nesslau";1474;471;488;171;184;96;64
"2012";"......3372 Hemberg";340;85;121;40;43;31;20
"2012";"......3374 Lichtensteig";925;412;275;83;104;35;16
"2012";"......3375 Oberhelfenschwil";482;119;162;63;68;37;33
"2012";"......3378 Neckertal";1576;477;504;203;209;100;83
"2012";"......3379 Wattwil";3396;1086;1139;407;440;210;114
"2012";"......3392 Kirchberg (SG)";3252;922;1000;479;517;228;106
"2012";"......3393 Lütisburg";519;120;175;79;66;49;30
"2012";"......3394 Mosnang";1005;244;318;124;151;101;67
"2012";"......3395 Bütschwil-Ganterschwil";1711;462;554;225;254;146;70
"2012";">> Wahlkreis Wil";29849;9278;9940;3799;4282;1787;763
"2012";"......3401 Degersheim";1569;504;489;202;199;111;64
"2012";"......3402 Flawil";4251;1406;1357;541;623;229;95
"2012";"......3405 Jonschwil";1416;337;471;205;265;101;37
"2012";"......3407 Oberuzwil";2358;658;801;299;361;169;70
"2012";"......3408 Uzwil";5134;1511;1702;683;782;331;125
"2012";"......3422 Niederbüren";508;110;153;79;85;47;34
"2012";"......3423 Niederhelfenschwil";1003;193;304;142;202;116;46
"2012";"......3424 Oberbüren";1602;397;571;220;249;121;44
"2012";"......3426 Zuzwil (SG)";1840;417;666;273;346;105;33
"2012";"......3427 Wil (SG)";10168;3745;3426;1155;1170;457;215
"2013";"- St. Gallen";208191;69790;68424;26428;27674;11077;4798
"2013";">> Wahlkreis St. Gallen";54715;21525;17431;6338;6216;2240;965
"2013";"......3201 Häggenschwil";435;101;132;51;93;41;17
"2013";"......3202 Muolen";429;99;150;49;73;37;21
"2013";"......3203 St. Gallen";35936;15921;10983;3939;3422;1150;521
"2013";"......3204 Wittenbach";4137;1323;1467;536;553;187;71
"2013";"......3212 Eggersriet";894;234;321;126;133;60;20
"2013";"......3441 Andwil (SG)";712;165;238;87;138;56;28
"2013";"......3442 Gaiserwald";3305;924;1188;428;535;163;67
"2013";"......3443 Gossau (SG)";7649;2495;2589;936;1042;425;162
"2013";"......3444 Waldkirch";1218;263;363;186;227;121;58
"2013";">> Wahlkreis Rorschach";18170;6207;6131;2311;2282;918;321
"2013";"......3211 Berg (SG)";313;66;116;46;46;25;14
"2013";"......3213 Goldach";4104;1388;1446;528;500;194;48
"2013";"......3214 Mörschwil";1378;308;513;190;235;98;34
"2013";"......3215 Rorschach";4167;1863;1163;458;391;198;94
"2013";"......3216 Rorschacherberg";3044;966;1110;420;381;132;35
"2013";"......3217 Steinach";1537;520;544;191;192;69;21
"2013";"......3218 Tübach";541;161;189;57;92;30;12
"2013";"......3219 Untereggen";365;74;111;62;69;39;10
"2013";"......3237 Thal";2721;861;939;359;376;133;53
"2013";">> Wahlkreis Rheintal";28285;8506;9320;3908;4178;1652;721
"2013";"......3231 Au (SG)";3127;1043;1049;424;404;139;68
"2013";"......3232 Balgach";1885;554;670;250;272;103;36
"2013";"......3233 Berneck";1590;483;536;219;238;92;22
"2013";"......3234 Diepoldsau";2284;567;756;352;391;157;61
"2013";"......3235 Rheineck";1427;511;468;165;186;73;24
"2013";"......3236 St. Margrethen";2346;762;730;335;320;137;62
"2013";"......3238 Widnau";3723;1089;1239;513;603;198;81
"2013";"......3251 Altstätten";4552;1455;1503;591;573;276;154
"2013";"......3252 Eichberg";580;150;176;94;107;44;9
"2013";"......3253 Marbach (SG)";810;200;256;135;146;56;17
"2013";"......3254 Oberriet (SG)";3256;863;1031;453;578;226;105
"2013";"......3255 Rebstein";1827;580;589;245;268;92;53
"2013";"......3256 Rüthi (SG)";878;249;317;132;92;59;29
"2013";">> Wahlkreis Werdenberg";15269;4839;5040;1963;2124;849;454
"2013";"......3271 Buchs (SG)";5040;1790;1598;627;608;254;163
"2013";"......3272 Gams";1248;338;417;160;196;94;43
"2013";"......3273 Grabs";2768;764;962;352;430;165;95
"2013";"......3274 Sennwald";2134;658;743;267;317;109;40
"2013";"......3275 Sevelen";1911;602;610;278;254;112;55
"2013";"......3276 Wartau";2168;687;710;279;319;115;58
"2013";">> Wahlkreis Sarganserland";16409;5286;5297;2166;2289;986;385
"2013";"......3291 Bad Ragaz";2603;1017;822;321;302;104;37
"2013";"......3292 Flums";1908;590;549;259;304;140;66
"2013";"......3293 Mels";3343;911;1093;478;527;239;95
"2013";"......3294 Pfäfers";619;194;197;78;73;60;17
"2013";"......3295 Quarten";1222;419;442;122;143;69;27
"2013";"......3296 Sargans";2590;855;901;357;304;121;52
"2013";"......3297 Vilters-Wangs";1801;516;562;253;304;124;42
"2013";"......3298 Walenstadt";2323;784;731;298;332;129;49
"2013";">> Wahlkreis See-Gaster";26938;8366;9138;3589;3909;1392;544
"2013";"......3311 Amden";782;294;269;84;95;26;14
"2013";"......3312 Benken (SG)";1058;258;349;158;174;86;33
"2013";"......3313 Kaltbrunn";1779;483;561;265;292;126;52
"2013";"......3315 Schänis";1449;377;489;224;231;90;38
"2013";"......3316 Weesen";700;266;229;69;89;32;15
"2013";"......3338 Schmerikon";1439;413;505;213;224;61;23
"2013";"......3339 Uznach";2449;701;813;337;378;159;61
"2013";"......3340 Rapperswil-Jona";11791;4061;4067;1499;1552;452;160
"2013";"......3341 Gommiswald";2047;602;727;261;284;121;52
"2013";"......3342 Eschenbach (SG)";3444;911;1129;479;590;239;96
"2013";">> Wahlkreis Toggenburg";18108;5579;5958;2284;2410;1226;651
"2013";"......3352 Ebnat-Kappel";2096;673;737;264;269;119;34
"2013";"......3359 Wildhaus-Alt St. Johann";1149;424;375;118;123;57;52
"2013";"......3360 Nesslau";1470;457;517;168;172;98;58
"2013";"......3372 Hemberg";343;87;124;46;31;35;20
"2013";"......3374 Lichtensteig";924;407;267;90;106;39;15
"2013";"......3375 Oberhelfenschwil";493;141;151;62;72;37;30
"2013";"......3378 Neckertal";1597;492;518;210;208;90;79
"2013";"......3379 Wattwil";3460;1118;1173;404;447;214;104
"2013";"......3392 Kirchberg (SG)";3308;933;1030;489;514;234;108
"2013";"......3393 Lütisburg";524;115;184;74;75;51;25
"2013";"......3394 Mosnang";1017;257;324;127;144;103;62
"2013";"......3395 Bütschwil-Ganterschwil";1727;475;558;232;249;149;64
"2013";">> Wahlkreis Wil";30297;9482;10109;3869;4266;1814;757
"2013";"......3401 Degersheim";1572;514;473;204;208;112;61
"2013";"......3402 Flawil";4312;1422;1383;559;606;238;104
"2013";"......3405 Jonschwil";1429;344;492;188;258;112;35
"2013";"......3407 Oberuzwil";2427;649;844;337;352;172;73
"2013";"......3408 Uzwil";5159;1534;1715;704;757;318;131
"2013";"......3422 Niederbüren";522;108;166;74;95;47;32
"2013";"......3423 Niederhelfenschwil";1022;209;306;158;196;110;43
"2013";"......3424 Oberbüren";1626;401;586;223;250;126;40
"2013";"......3426 Zuzwil (SG)";1848;424;678;255;350;106;35
"2013";"......3427 Wil (SG)";10380;3877;3466;1167;1194;473;203
"2014";"- St. Gallen";211187;71132;69699;26813;27891;10960;4692
"2014";">> Wahlkreis St. Gallen";55215;21751;17515;6505;6271;2244;929
"2014";"......3201 Häggenschwil";441;104;141;47;91;39;19
"2014";"......3202 Muolen";435;105;149;56;65;40;20
"2014";"......3203 St. Gallen";36238;16034;10976;4044;3475;1194;515
"2014";"......3204 Wittenbach";4152;1346;1459;539;557;184;67
"2014";"......3212 Eggersriet";905;236;337;135;121;58;18
"2014";"......3441 Andwil (SG)";715;167;237;98;134;55;24
"2014";"......3442 Gaiserwald";3353;935;1208;439;551;154;66
"2014";"......3443 Gossau (SG)";7718;2542;2626;963;1040;399;148
"2014";"......3444 Waldkirch";1258;282;382;184;237;121;52
"2014";">> Wahlkreis Rorschach";18491;6372;6348;2261;2307;904;299
"2014";"......3211 Berg (SG)";314;65;127;35;50;24;13
"2014";"......3213 Goldach";4095;1383;1490;484;502;194;42
"2014";"......3214 Mörschwil";1384;318;493;210;234;96;33
"2014";"......3215 Rorschach";4370;1998;1225;484;397;179;87
"2014";"......3216 Rorschacherberg";3117;986;1151;415;394;134;37
"2014";"......3217 Steinach";1544;523;548;190;200;70;13
"2014";"......3218 Tübach";551;163;197;54;90;36;11
"2014";"......3219 Untereggen";375;77;124;58;70;37;9
"2014";"......3237 Thal";2741;859;993;331;370;134;54
"2014";">> Wahlkreis Rheintal";28922;8854;9548;3993;4209;1605;713
"2014";"......3231 Au (SG)";3152;1065;1041;425;413;137;71
"2014";"......3232 Balgach";1898;565;679;258;258;98;40
"2014";"......3233 Berneck";1639;508;559;209;247;92;24
"2014";"......3234 Diepoldsau";2459;699;786;352;415;150;57
"2014";"......3235 Rheineck";1428;523;462;166;183;72;22
"2014";"......3236 St. Margrethen";2363;760;736;343;332;127;65
"2014";"......3238 Widnau";3773;1082;1278;554;576;207;76
"2014";"......3251 Altstätten";4691;1534;1545;602;609;269;132
"2014";"......3252 Eichberg";579;147;192;85;105;37;13
"2014";"......3253 Marbach (SG)";842;216;279;131;150;50;16
"2014";"......3254 Oberriet (SG)";3322;895;1051;484;565;214;113
"2014";"......3255 Rebstein";1869;599;617;250;256;92;55
"2014";"......3256 Rüthi (SG)";907;261;323;134;100;60;29
"2014";">> Wahlkreis Werdenberg";15596;4993;5122;2099;2087;859;436
"2014";"......3271 Buchs (SG)";5147;1811;1619;701;601;251;164
"2014";"......3272 Gams";1264;335;413;189;191;94;42
"2014";"......3273 Grabs";2788;804;949;375;408;177;75
"2014";"......3274 Sennwald";2217;704;757;288;316;114;38
"2014";"......3275 Sevelen";2020;673;648;286;244;106;63
"2014";"......3276 Wartau";2160;666;736;260;327;117;54
"2014";">> Wahlkreis Sarganserland";16600;5369;5454;2131;2303;954;389
"2014";"......3291 Bad Ragaz";2610;1021;833;304;304;103;45
"2014";"......3292 Flums";1922;599;578;251;292;139;63
"2014";"......3293 Mels";3382;936;1110;475;541;228;92
"2014";"......3294 Pfäfers";650;227;197;80;72;55;19
"2014";"......3295 Quarten";1211;398;457;130;141;57;28
"2014";"......3296 Sargans";2617;860;905;346;327;128;51
"2014";"......3297 Vilters-Wangs";1830;521;610;243;293;118;45
"2014";"......3298 Walenstadt";2378;807;764;302;333;126;46
"2014";">> Wahlkreis See-Gaster";27358;8468;9415;3659;3900;1391;525
"2014";"......3311 Amden";790;279;292;87;92;28;12
"2014";"......3312 Benken (SG)";1100;272;378;148;188;83;31
"2014";"......3313 Kaltbrunn";1842;508;593;284;293;120;44
"2014";"......3315 Schänis";1486;404;503;226;229;86;38
"2014";"......3316 Weesen";716;270;248;66;84;36;12
"2014";"......3338 Schmerikon";1482;424;518;222;232;60;26
"2014";"......3339 Uznach";2465;693;827;351;360;173;61
"2014";"......3340 Rapperswil-Jona";11901;4073;4167;1517;1547;442;155
"2014";"......3341 Gommiswald";2064;615;744;248;289;121;47
"2014";"......3342 Eschenbach (SG)";3512;930;1145;510;586;242;99
"2014";">> Wahlkreis Toggenburg";18375;5685;6137;2261;2436;1232;624
"2014";"......3352 Ebnat-Kappel";2125;699;756;246;262;120;42
"2014";"......3359 Wildhaus-Alt St. Johann";1165;442;381;113;115;69;45
"2014";"......3360 Nesslau";1483;465;521;165;182;96;54
"2014";"......3372 Hemberg";339;87;121;45;35;34;17
"2014";"......3374 Lichtensteig";931;414;277;86;102;36;16
"2014";"......3375 Oberhelfenschwil";492;135;156;64;76;38;23
"2014";"......3378 Neckertal";1597;495;532;206;192;102;70
"2014";"......3379 Wattwil";3507;1117;1193;419;468;203;107
"2014";"......3392 Kirchberg (SG)";3384;946;1074;473;539;255;97
"2014";"......3393 Lütisburg";530;130;176;80;69;46;29
"2014";"......3394 Mosnang";1027;263;335;119;155;94;61
"2014";"......3395 Bütschwil-Ganterschwil";1795;492;615;245;241;139;63
"2014";">> Wahlkreis Wil";30630;9640;10160;3904;4378;1771;777
"2014";"......3401 Degersheim";1574;522;478;184;222;101;67
"2014";"......3402 Flawil";4353;1440;1425;544;608;229;107
"2014";"......3405 Jonschwil";1441;340;506;183;270;110;32
"2014";"......3407 Oberuzwil";2451;662;832;344;370;164;79
"2014";"......3408 Uzwil";5164;1536;1716;701;771;315;125
"2014";"......3422 Niederbüren";534;116;169;73;101;45;30
"2014";"......3423 Niederhelfenschwil";1049;222;319;159;202;108;39
"2014";"......3424 Oberbüren";1660;429;586;211;266;122;46
"2014";"......3426 Zuzwil (SG)";1878;447;675;270;344;109;33
"2014";"......3427 Wil (SG)";10526;3926;3454;1235;1224;468;219
"2015";"- St. Gallen";213233;72397;70727;26788;27916;10853;4552
"2015";">> Wahlkreis St. Gallen";55328;21952;17518;6507;6244;2228;879
"2015";"......3201 Häggenschwil";464;103;167;51;83;46;14
"2015";"......3202 Muolen";449;110;155;54;74;37;19
"2015";"......3203 St. Gallen";36230;16196;10925;4035;3408;1178;488
"2015";"......3204 Wittenbach";4162;1338;1460;546;567;186;65
"2015";"......3212 Eggersriet";903;224;335;135;133;58;18
"2015";"......3441 Andwil (SG)";709;159;244;100;130;53;23
"2015";"......3442 Gaiserwald";3482;1003;1243;465;556;156;59
"2015";"......3443 Gossau (SG)";7672;2544;2598;941;1054;391;144
"2015";"......3444 Waldkirch";1257;275;391;180;239;123;49
"2015";">> Wahlkreis Rorschach";18584;6436;6387;2280;2262;918;301
"2015";"......3211 Berg (SG)";313;63;124;40;43;31;12
"2015";"......3213 Goldach";4066;1388;1465;495;489;182;47
"2015";"......3214 Mörschwil";1379;327;491;208;227;93;33
"2015";"......3215 Rorschach";4403;1976;1283;474;397;194;79
"2015";"......3216 Rorschacherberg";3157;1005;1152;428;391;139;42
"2015";"......3217 Steinach";1592;555;561;188;206;70;12
"2015";"......3218 Tübach";548;162;192;60;84;37;13
"2015";"......3219 Untereggen";380;77;128;59;67;40;9
"2015";"......3237 Thal";2746;883;991;328;358;132;54
"2015";">> Wahlkreis Rheintal";29457;9165;9798;3991;4190;1626;687
"2015";"......3231 Au (SG)";3214;1104;1077;418;397;150;68
"2015";"......3232 Balgach";1901;579;675;260;256;102;29
"2015";"......3233 Berneck";1657;496;585;222;239;89;26
"2015";"......3234 Diepoldsau";2544;716;858;341;428;147;54
"2015";"......3235 Rheineck";1480;541;502;163;176;70;28
"2015";"......3236 St. Margrethen";2405;794;744;358;325;121;63
"2015";"......3238 Widnau";3836;1134;1291;538;576;216;81
"2015";"......3251 Altstätten";4785;1616;1572;594;605;277;121
"2015";"......3252 Eichberg";589;149;191;88;107;37;17
"2015";"......3253 Marbach (SG)";853;222;292;126;150;50;13
"2015";"......3254 Oberriet (SG)";3396;935;1066;514;560;214;107
"2015";"......3255 Rebstein";1871;598;627;246;251;96;53
"2015";"......3256 Rüthi (SG)";926;281;318;123;120;57;27
"2015";">> Wahlkreis Werdenberg";15792;5059;5236;2094;2082;887;434
"2015";"......3271 Buchs (SG)";5262;1879;1617;727;606;260;173
"2015";"......3272 Gams";1283;318;455;190;186;98;36
"2015";"......3273 Grabs";2812;823;953;376;406;178;76
"2015";"......3274 Sennwald";2236;692;799;272;319;118;36
"2015";"......3275 Sevelen";2023;671;660;272;245;115;60
"2015";"......3276 Wartau";2176;676;752;257;320;118;53
"2015";">> Wahlkreis Sarganserland";16748;5475;5520;2122;2315;957;359
"2015";"......3291 Bad Ragaz";2658;1051;867;301;290;109;40
"2015";"......3292 Flums";1956;623;592;253;293;136;59
"2015";"......3293 Mels";3404;958;1129;459;546;225;87
"2015";"......3294 Pfäfers";662;229;205;81;76;53;18
"2015";"......3295 Quarten";1232;413;457;140;137;65;20
"2015";"......3296 Sargans";2587;857;885;325;339;133;48
"2015";"......3297 Vilters-Wangs";1874;535;623;247;320;112;37
"2015";"......3298 Walenstadt";2375;809;762;316;314;124;50
"2015";">> Wahlkreis See-Gaster";27781;8713;9619;3658;3943;1340;508
"2015";"......3311 Amden";800;279;301;89;89;27;15
"2015";"......3312 Benken (SG)";1123;285;386;155;186;79;32
"2015";"......3313 Kaltbrunn";1881;532;601;276;311;116;45
"2015";"......3315 Schänis";1498;393;523;222;230;90;40
